popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
88,7gAppWoH7pcYmphCVTXkzs,Q15042553,The Vamps,6167219,5952843,London,reported_place,True,False,,,,,unresolved,,not_reviewed,medium,strict,UK001F
89,1aX2dmV8XoHYCOQRxjPESG,Q730158,The Human League,6085844,1370364,Sheffield,reported_place,True,False,,,,,confirmed,Sheffield,not_reviewed,,strict,UK010F
90,0GByy3DcfbQwDvXGCWmzv9,Q667389,Pretenders,6044974,1771319,Hereford,reported_place,True,True,,,,,confirmed,Hereford,not_reviewed,,excluded_no_defensible_fua,
91,2VAnyOxzJuSAj7XIuEOT38,Q10353,AlunaGeorge,6010368,456793,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
92,6liAMWkVf5LH7YR9yfFy1Y,Q191352,Portishead,5958911,2540792,Bristol,reported_place,True,False,,,,,confirmed,Bristol,not_reviewed,,strict,UK011F
93,6MUyqmIQ35inLjch0YzIEG,Q2629330,Frou Frou,5930276,419619,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
94,6aq8T2RcspxVOGgMrTzjWc,Q1329303,Soft Cell,5766246,869007,Leeds,reported_place,True,False,,,,,confirmed,Leeds,not_reviewed,,strict,UK003F
95,7bPU7cvfoD20ixGD9Qnqki,Q283638,Stealers Wheel,5726001,253056,Paisley,reported_place,True,False,,,,,confirmed,Paisley,not_reviewed,,strict,UK004F
96,2TzHIUhVpeeDxyJPpQfnV3,Q934582,Katrina & The Waves,5671000,171867,Cambridge,reported_place,True,False,,,,,confirmed,Cambridge,not_reviewed,,strict,UK017F
97,0HxX6imltnNXJyQhu4nsiO,Q113022702,LF SYSTEM,5611864,113693,West Lothian,reviewed_override,True,False,,,,,confirmed,West Lothian,not_reviewed,,strict,UK007F
98,13ccXrK7AmXb4TddMkE7jy,Q313779,Everything But The Girl,5607393,480010,Kingston upon Hull,reported_place,True,False,,,,,confirmed,Kingston upon Hull,not_reviewed,,strict,UK026F
99,47Z8LEl3LnQkcpva0xSthT,Q1860769,The La's,5581915,320009,Liverpool,reported_place,True,False,,,,,confirmed,Liverpool,not_reviewed,,strict,UK006F
100,3iOvXCl6edW5Um0fXEBRXy,Q869367,The xx,5459918,3911861,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
101,32ogthv0BdaSMPml02X9YB,Q1087300,The Cinematic Orchestra,5329785,811495,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
102,20p5D2KrE8CGuOjHtxsyTp,Q14528,Fine Young Cannibals,5309505,1018624,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
103,21UJ7PRWb3Etgsu99f8yo8,Q28963,Stereophonics,5187258,1843050,Cwmaman,reported_place,True,False,,,,,confirmed,Cwmaman,not_reviewed,,strict,UK009F
104,78SHxLdtysAXgywQ4vE0Oa,Q247949,Bush,5127264,2264067,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
105,5Wabl1lPdNOeIn0SQ5A1mp,Q588820,Cocteau Twins,5124023,1683661,Grangemouth,reported_place,True,False,,,,,confirmed,Grangemouth,not_reviewed,,strict,UK551F
106,7iWiAD5LLKyiox2grgfmUT,Q485385,Bullet For My Valentine,5036374,3716305,Bridgend,reported_place,True,False,,,,,confirmed,Bridgend,not_reviewed,,excluded_no_defensible_fua,
107,4k1ELeJKT1ISyDv8JivPpB,Q7256860,The Prodigy,5031555,3074898,Braintree,reviewed_multi_place_rule,True,False,,,,,confirmed,Braintree,not_reviewed,,excluded_no_defensible_fua,
108,2jgPkn6LuUazBoBk6vvjh5,Q1163207,The Zombies,5025277,1164571,St Albans,reported_place,True,False,,,,,confirmed,St Albans,not_reviewed,,strict,UK001F
